Nationality,Image
British,/View/Images/CountryIcons/england_96px.png
German,/View/Images/CountryIcons/icons8_germany_96px.png
Spanish,/View/Images/CountryIcons/icons8_spain_96px.png
Italian,/View/Images/CountryIcons/icons8_italy_96px.png
French,/View/Images/CountryIcons/france_96px.png
Russian,/View/Images/CountryIcons/russian_federation_96px.png
Argentinian,/View/Images/CountryIcons/argentina_96px.png
Algerian,/View/Images/CountryIcons/icons8_algeria_96px.png
Argentinian,/View/Images/CountryIcons/icons8_argentina_96px.png
Armenian,/View/Images/CountryIcons/icons8_armenia_96px.png
Australian,/View/Images/CountryIcons/icons8_australia_96px.png
Austrian,/View/Images/CountryIcons/icons8_austria_96px.png
Azerbaijani,/View/Images/CountryIcons/icons8_azerbaijan_96px.png
Belarusian,/View/Images/CountryIcons/icons8_belarus_96px.png
Belgian,/View/Images/CountryIcons/icons8_belgium_96px.png
Bolivian,/View/Images/CountryIcons/icons8_bolivia_96px.png
Bosnian,/View/Images/CountryIcons/icons8_bosnia_and_herzegovina_96px.png
Brazilian,/View/Images/CountryIcons/icons8_brazil_96px.png
Bulgarian,/View/Images/CountryIcons/icons8_bulgaria_96px.png
Canadian,/View/Images/CountryIcons/icons8_canada_96px.png
Chilean,/View/Images/CountryIcons/icons8_chile_96px.png
Chinese,/View/Images/CountryIcons/icons8_china_96px.png
Colombian,/View/Images/CountryIcons/icons8_colombia_96px.png
Congolese,/View/Images/CountryIcons/icons8_congo_96px.png
Croatian,/View/Images/CountryIcons/icons8_croatia_96px.png
Czech,/View/Images/CountryIcons/icons8_czech_republic_96px.png
Dane,/View/Images/CountryIcons/icons8_denmark_96px.png
Ecuadorian,/View/Images/CountryIcons/icons8_ecuador_96px.png
Egyptian,/View/Images/CountryIcons/icons8_egypt_96px.png
Estonian,/View/Images/CountryIcons/icons8_estonia_96px.png
Finn,/View/Images/CountryIcons/icons8_finland_96px.png
Greek,/View/Images/CountryIcons/icons8_greece_96px.png
Hungarian,/View/Images/CountryIcons/icons8_hungary_96px.png
Indian,/View/Images/CountryIcons/icons8_india_96px.png
Indonesian,/View/Images/CountryIcons/icons8_indonesia_96px.png
Iranian,/View/Images/CountryIcons/icons8_iran_96px.png
Iraqi,/View/Images/CountryIcons/icons8_iraq_96px.png
Ivorian,/View/Images/CountryIcons/icons8_ivory_coast_96px.png
Japanese,/View/Images/CountryIcons/icons8_japan_96px.png
Kazakh,/View/Images/CountryIcons/icons8_kazakhstan_96px.png
Latvian,/View/Images/CountryIcons/icons8_latvia_96px.png
Lithuanian,/View/Images/CountryIcons/icons8_lithuania_96px.png
Mexican,/View/Images/CountryIcons/icons8_mexico_96px.png
Dutch,/View/Images/CountryIcons/icons8_netherlands_96px.png
Nigerian,/View/Images/CountryIcons/icons8_nigeria_flag_96px.png
Norwegian,/View/Images/CountryIcons/icons8_norway_96px.png
Peruvian,/View/Images/CountryIcons/icons8_peru_96px.png
Polish,/View/Images/CountryIcons/icons8_poland_96px.png
Portuguese,/View/Images/CountryIcons/icons8_portugal_96px.png
Romanian,/View/Images/CountryIcons/icons8_romania_96px.png
Serbian,/View/Images/CountryIcons/icons8_serbia_96px.png
Slovak,/View/Images/CountryIcons/icons8_slovakia_96px.png
South African,/View/Images/CountryIcons/icons8_south_africa_96px.png
South Korean,/View/Images/CountryIcons/icons8_south_korea_96px.png
Swedish,/View/Images/CountryIcons/icons8_sweden_96px.png
Swiss,/View/Images/CountryIcons/icons8_switzerland_96px.png
Tunisian,/View/Images/CountryIcons/icons8_tunisia_96px.png
Turkish,/View/Images/CountryIcons/icons8_turkey_96px.png
Ukrainian,/View/Images/CountryIcons/icons8_ukraine_96px.png
Emirati,/View/Images/CountryIcons/icons8_united_arab_emirates_96px.png
Uruguayan,/View/Images/CountryIcons/icons8_uruguay_96px.png
American,/View/Images/CountryIcons/icons8_usa_96px.png
Venezuelan,/View/Images/CountryIcons/icons8_venezuela_96px.png
